Front,Back,Left,Right,Command
32.66,70.4,19.67,60.54,right
30.4,95.69,20.62,60.38,front
30.04,118.3,20.65,55.74,front
31.54,98.6,18.12,49.86,right
30.52,98.7,17.53,56.61,right
30.4,100.56,17.32,57.38,right
30.67,102.43,17.66,43.37,right
30.94,40.12,17.7,40.72,right
31.11,42.55,18.62,42.72,right
33.32,39.41,19.52,52.6,right
34.02,38.81,23.09,47.09,front
62.61,39.25,25.81,85.75,front
54.28,38.52,30.65,79.29,front
55.95,38.74,33.76,80.24,front
60.76,38.93,30.75,90.85,front
58.65,39.93,30.87,85.82,front
63.31,40.09,30.87,92.74,front
99.2,40.61,30.12,92.23,front
55.79,41.11,30.58,82.08,front
56.29,42.31,31.4,92.12,front
56.75,42.59,31.89,72.73,front
42.43,43.01,55.05,49.83,front
95.52,43.33,54.16,89.91,front
38.17,44.15,53.57,48.93,front
40.12,44.4,61.25,88.93,front
43.15,45.82,49.47,88.08,front
90.42,46.16,47.69,88.49,front
55,47.91,47.46,87.21,front
53.94,47.8,62.31,87.35,front
57.61,48.52,46.24,85.99,front
67.71,48.5,44.05,54.3,front
70.52,49.22,41.89,84.73,front
76.67,49.95,40.95,85.31,front
70.01,50.32,41.82,84.29,front
87.67,51.02,39.46,83.91,front
70.16,51.8,61.25,83.64,front
84.32,52.94,39.76,82.21,front
69.53,53.92,40.95,86.95,front
69.68,54.64,41.75,81.79,front
66.38,54.66,43.45,79.02,front
66.67,56.25,59.67,79.78,front
81.5,56.58,59.69,79.07,front
67.8,56.83,49.59,78.06,front
63.31,57.66,100.2,62.31,front
65.47,59.11,99.52,75.89,front
66.08,59.5,98.79,75.58,front
64.07,59.96,97.14,75.65,front
67.1,62.19,97.21,74.27,front
76.87,62.22,95.91,72.95,front
62.51,63.26,94.93,72.39,front
53.86,62.85,94.71,71.23,front
47.69,63.22,78.73,66.11,front
54.3,64.72,93.09,71.38,front
56.22,64.33,93.7,70.07,front
62.73,66.16,92.6,70.18,front
72.25,65.04,92.48,69.6,front
51.43,67.75,91,68,front
71.74,68,78.49,67.37,front
71.31,70.02,89.2,66.79,front
64.52,70.87,90.02,66.5,front
63.8,71.93,88.2,65.16,front
68.71,71.52,87.24,64.74,front
67.66,72.73,88.23,64.16,front
66.23,72.73,86.22,63.87,front
65.94,72.78,85.92,63.17,front
65.3,73.49,85.43,61.93,front
65.04,74.56,86.29,61.88,front
64.79,74.94,86.6,61.23,front
64.89,72.3,84.78,60.95,front
63.07,77.18,85.1,60.37,front
62.87,76.81,83.23,59.3,front
61.57,79.07,83.16,58.26,front
61.66,79.85,69.75,58.4,front
56.78,63.94,65.16,57.1,front
55.79,80.16,82.18,56.83,front
52.55,81.29,79.39,56.3,front
59.52,78.57,61.46,55.17,front
53.57,84,40.73,55.22,front
54.54,72.37,30.53,54.43,front
45.61,85.44,28.48,52.87,front
43.4,86.73,27.2,53.14,front
29.12,72.25,25.74,52.51,front
39.51,87.43,25.38,51.48,front
36.18,87.86,21.44,51.12,front
32.39,88.59,21.1,50.46,front
38.08,90.85,20.09,49.08,front
33.27,90.46,19.18,48.89,right
35.87,91.22,1071.99,47.82,front
29.48,93.23,16.3,47.26,right
29.95,94.67,15.67,47.04,right
29.29,94.57,15.84,46.36,right
30.23,95.22,15.4,47.24,right
31.74,93.93,15.3,46,right
29.6,51.54,15.52,45.87,right
32.91,58.57,19.75,47.29,right
48.6,58.21,14.65,47.65,right
47.58,58.38,14.88,48.09,right
47.38,57.17,15.39,46.97,right
46.82,57.32,16.47,237.17,right
47.96,57.38,19.77,232.39,right
47.33,57.66,20.2,237.07,front
47.8,57.09,28.88,99.55,front
48.3,57.55,30.46,99.3,front
48.76,58,31.18,96.99,front
48.72,57.89,45.31,157.81,front
48.96,52.02,44.54,96.95,front
50.32,59.4,44.59,152.85,front
193.63,60.47,43.67,94.77,front
193.97,53.31,43.27,152.29,front
193.02,58.87,42.65,95.56,front
191.9,59.82,42.18,91.99,front
175.47,63.97,41.62,152.76,front
190.38,64.23,41.17,149.79,front
189.96,63.07,40.87,152.32,front
190.4,66.15,39.7,149.29,front
189.24,64.96,39.05,147.87,front
188.89,66.37,38.98,147,front
186.92,66.47,38.25,145.55,front
185.83,53.86,37.52,145.49,front
186.88,69.09,36.98,145.37,front
186.42,87.21,35.9,144.5,front
182.9,69.67,35.12,143.11,front
1078.21,72.52,33.63,85.1,front
180.61,70.72,32.86,141.27,front
179.06,73.78,32.16,141.12,front
180.39,81.67,31.4,140.91,front
179.25,74.09,30.31,82.6,front
176.92,76.31,29.68,139.57,front
176.73,86.6,28.93,139.64,front
176.31,79.71,28.31,82.89,front
174,78.06,27.56,137.85,front
171.99,88.37,26.88,81.21,front
171.99,89.98,26.25,75.28,front
173.52,78.97,25.69,76.43,front
171.6,78.88,25.02,77.37,front
169.69,82.16,24.29,135.73,front
168.45,78.66,24.04,74.75,front
169.97,99.94,23.09,74.82,front
168.81,82.72,22.73,133.72,front
167.57,82.79,21.98,74.14,front
165.04,74.92,21.44,72.73,front
160.53,84.66,20.55,71.37,front
1078.17,55.68,19.31,131.36,right
162.91,89.71,18.51,129.25,right
162.96,87.65,18.04,70.79,right
201.23,89.45,17.73,129.56,right
199.8,88.21,17.54,128.91,right
1078.09,90.59,18.33,73.68,right
201.48,93.19,18.58,127.69,right
